"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 03 12:40:27 GMT+04:00 2020","Mon Aug 03 12:40:27 GMT+04:00 2020","174","","HomePage tests","","HomePage tests","Checks Heading1","Checks Heading1","Heading1 test description"
"passed","Mon Aug 03 12:40:28 GMT+04:00 2020","Mon Aug 03 12:40:28 GMT+04:00 2020","154","","TablesPage tests","","TablesPage tests","Checks last names in first table default sorting","Checks last names in first table default sorting",""
"passed","Mon Aug 03 12:40:28 GMT+04:00 2020","Mon Aug 03 12:40:28 GMT+04:00 2020","164","","TablesPage tests","","TablesPage tests","Sorts first table by last name and checks sorting","Sorts first table by last name and checks sorting",""
"passed","Mon Aug 03 12:40:29 GMT+04:00 2020","Mon Aug 03 12:40:29 GMT+04:00 2020","194","","AddRemovePage tests","","AddRemovePage tests","Checks whether proper number of Delete buttons are shown after clicking Delete button","Checks whether proper number of Delete buttons are shown after clicking Delete button",""
"passed","Mon Aug 03 12:40:29 GMT+04:00 2020","Mon Aug 03 12:40:29 GMT+04:00 2020","49","","AddRemovePage tests","","AddRemovePage tests","Checks if correct header is shown","Checks if correct header is shown",""
"passed","Mon Aug 03 12:40:29 GMT+04:00 2020","Mon Aug 03 12:40:29 GMT+04:00 2020","39","","AddRemovePage tests","","AddRemovePage tests","Checks if Add Element button is visible","Checks if Add Element button is visible",""
"passed","Mon Aug 03 12:40:27 GMT+04:00 2020","Mon Aug 03 12:40:27 GMT+04:00 2020","74","","HomePage tests","","HomePage tests","Checks Heading2","Checks Heading2","Heading2 test description"
"passed","Mon Aug 03 12:40:29 GMT+04:00 2020","Mon Aug 03 12:40:29 GMT+04:00 2020","172","","AddRemovePage tests","","AddRemovePage tests","Checks whether proper number of Delete buttons appear when clicking Add Button several times","Checks whether proper number of Delete buttons appear when clicking Add Button several times",""
"passed","Mon Aug 03 12:40:27 GMT+04:00 2020","Mon Aug 03 12:40:28 GMT+04:00 2020","876","","TablesPage tests","","TablesPage tests","Checks person 1 from Table 1 data","Checks person 1 from Table 1 data",""
"passed","Mon Aug 03 12:40:27 GMT+04:00 2020","Mon Aug 03 12:40:27 GMT+04:00 2020","281","","TablesPage tests","","TablesPage tests","Checks table headers","Checks table headers",""
"passed","Mon Aug 03 12:40:27 GMT+04:00 2020","Mon Aug 03 12:40:27 GMT+04:00 2020","196","","HomePage tests","","HomePage tests","Checks if list of pages is shown properly","Checks if list of pages is shown properly","List of pages description"
